year,make,model,body_styles
2000,Ford,Escort,"[""Sedan"", ""Coupe""]"
2000,Ford,Excursion,"[""SUV""]"
2000,Ford,Expedition,"[""SUV""]"
2000,Ford,Explorer,"[""SUV""]"
2000,Ford,Explorer Sport,"[""SUV""]"
2000,Ford,F150 Regular Cab,"[""Pickup""]"
2000,Ford,F150 Super Cab,"[""Pickup""]"
2000,Ford,F250 Super Duty Crew Cab,"[""Pickup""]"
2000,Ford,F250 Super Duty Regular Cab,"[""Pickup""]"
2000,Ford,F250 Super Duty Super Cab,"[""Pickup""]"
2000,Ford,F350 Super Duty Crew Cab,"[""Pickup""]"
2000,Ford,F350 Super Duty Regular Cab,"[""Pickup""]"
2000,Ford,F350 Super Duty Super Cab,"[""Pickup""]"
2000,Ford,Focus,"[""Sedan"", ""Hatchback"", ""Wagon""]"
2000,Ford,Mustang,"[""Convertible"", ""Coupe""]"
2000,Ford,Ranger Regular Cab,"[""Pickup""]"
2000,Ford,Ranger Super Cab,"[""Pickup""]"
2000,Ford,Taurus,"[""Sedan"", ""Wagon""]"
2000,Ford,Windstar Cargo,"[""Van/Minivan""]"
2000,Ford,Windstar Passenger,"[""Van/Minivan""]"
2000,GMC,Envoy,"[""SUV""]"
2000,GMC,Jimmy,"[""SUV""]"
2000,GMC,Safari Cargo,"[""Van/Minivan""]"
2000,GMC,Safari Passenger,"[""Van/Minivan""]"
2000,GMC,Savana 1500 Cargo,"[""Van/Minivan""]"
2000,GMC,Savana 1500 Passenger,"[""Van/Minivan""]"
2000,GMC,Savana 2500 Cargo,"[""Van/Minivan""]"
2000,GMC,Savana 2500 Passenger,"[""Van/Minivan""]"
2000,GMC,Savana 3500 Cargo,"[""Van/Minivan""]"
2000,GMC,Savana 3500 Passenger,"[""Van/Minivan""]"
2000,GMC,Sierra (Classic) 2500 Crew Cab,"[""Pickup""]"
2000,GMC,Sierra (Classic) 2500 HD Extended Cab,"[""Pickup""]"
2000,GMC,Sierra (Classic) 2500 HD Regular Cab,"[""Pickup""]"
2000,GMC,Sierra (Classic) 3500 Crew Cab,"[""Pickup""]"
2000,GMC,Sierra (Classic) 3500 Extended Cab,"[""Pickup""]"
2000,GMC,Sierra (Classic) 3500 Regular Cab,"[""Pickup""]"
2000,GMC,Sierra 1500 Extended Cab,"[""Pickup""]"
2000,GMC,Sierra 1500 Regular Cab,"[""Pickup""]"
2000,GMC,Sierra 2500 Extended Cab,"[""Pickup""]"
2000,GMC,Sierra 2500 HD Extended Cab,"[""Pickup""]"
2000,GMC,Sierra 2500 HD Regular Cab,"[""Pickup""]"
2000,GMC,Sierra 2500 Regular Cab,"[""Pickup""]"
2000,GMC,Sonoma Extended Cab,"[""Pickup""]"
2000,GMC,Sonoma Regular Cab,"[""Pickup""]"
2000,GMC,Yukon,"[""SUV""]"
2000,GMC,Yukon Denali,"[""SUV""]"
2000,GMC,Yukon XL 1500,"[""SUV""]"
2000,GMC,Yukon XL 2500,"[""SUV""]"
2000,Honda,Accord,"[""Sedan"", ""Coupe""]"
2000,Honda,Civic,"[""Coupe"", ""Sedan"", ""Hatchback""]"
2000,Honda,CR-V,"[""SUV""]"
2000,Honda,Insight,"[""Hatchback""]"
2000,Honda,Odyssey,"[""Van/Minivan""]"
2000,Honda,Passport,"[""SUV""]"
2000,Honda,Prelude,"[""Coupe""]"
2000,Honda,S2000,"[""Convertible""]"
2000,HUMMER,H1,"[""SUV"", ""Wagon""]"
2000,Hyundai,Accent,"[""Hatchback"", ""Sedan""]"
2000,Hyundai,Elantra,"[""Wagon"", ""Sedan""]"
2000,Hyundai,Sonata,"[""Sedan""]"
2000,Hyundai,Tiburon,"[""Hatchback""]"
2000,INFINITI,G,"[""Sedan""]"
2000,INFINITI,I,"[""Sedan""]"
2000,INFINITI,Q,"[""Sedan""]"
2000,INFINITI,QX,"[""SUV""]"
2000,Isuzu,Amigo,"[""SUV""]"
2000,Isuzu,Hombre Regular Cab,"[""Pickup""]"
2000,Isuzu,Hombre Spacecab,"[""Pickup""]"
2000,Isuzu,Rodeo,"[""SUV""]"
2000,Isuzu,Trooper,"[""SUV""]"
2000,Isuzu,VehiCROSS,"[""SUV""]"
2000,Jaguar,S-Type,"[""Sedan""]"
2000,Jaguar,XJ,"[""Sedan""]"
2000,Jaguar,XK,"[""Coupe"", ""Convertible""]"
2000,Jeep,Cherokee,"[""SUV""]"
2000,Jeep,Grand Cherokee,"[""SUV""]"
2000,Jeep,Wrangler,"[""SUV""]"
2000,Kia,Sephia,"[""Sedan""]"
2000,Kia,Spectra,"[""Hatchback""]"
2000,Kia,Sportage,"[""SUV""]"
2000,Land Rover,Discovery Series II,"[""SUV""]"
2000,Land Rover,Range Rover,"[""SUV""]"
2000,Lexus,ES,"[""Sedan""]"
2000,Lexus,GS,"[""Sedan""]"
2000,Lexus,LS,"[""Sedan""]"
2000,Lexus,LX,"[""SUV""]"
2000,Lexus,RX,"[""SUV""]"
2000,Lexus,SC,"[""Coupe""]"
2000,Lincoln,Continental,"[""Sedan""]"
2000,Lincoln,LS,"[""Sedan""]"
2000,Lincoln,Navigator,"[""SUV""]"
2000,Lincoln,Town Car,"[""Sedan""]"
2000,Mazda,626,"[""Sedan""]"
2000,Mazda,B-Series Cab Plus,"[""Pickup""]"
2000,Mazda,B-Series Regular Cab,"[""Pickup""]"
2000,Mazda,Millenia,"[""Sedan""]"
2000,Mazda,MPV,"[""Van/Minivan""]"
2000,Mazda,MX-5 Miata,"[""Convertible""]"
2000,Mazda,Protege,"[""Sedan""]"
2000,Mercedes-Benz,C-Class,"[""Sedan""]"
2000,Mercedes-Benz,CL-Class,"[""Coupe""]"
2000,Mercedes-Benz,CLK-Class,"[""Coupe"", ""Convertible""]"
2000,Mercedes-Benz,E-Class,"[""Sedan"", ""Wagon""]"
2000,Mercedes-Benz,M-Class,"[""SUV""]"
2000,Mercedes-Benz,S-Class,"[""Sedan""]"
2000,Mercedes-Benz,SL-Class,"[""Convertible""]"
2000,Mercedes-Benz,SLK-Class,"[""Convertible""]"
2000,Mercury,Cougar,"[""Coupe""]"
2000,Mercury,Grand Marquis,"[""Sedan""]"
2000,Mercury,Mountaineer,"[""SUV""]"
2000,Mercury,Mystique,"[""Sedan""]"
2000,Mercury,Sable,"[""Wagon"", ""Sedan""]"
2000,Mercury,Villager,"[""Van/Minivan""]"
2000,Mitsubishi,Diamante,"[""Sedan""]"
2000,Mitsubishi,Eclipse,"[""Coupe""]"
2000,Mitsubishi,Galant,"[""Sedan""]"
2000,Mitsubishi,Mirage,"[""Coupe"", ""Sedan""]"
2000,Mitsubishi,Montero,"[""SUV""]"
2000,Mitsubishi,Montero Sport,"[""SUV""]"
2000,Nissan,Altima,"[""Sedan""]"
2000,Nissan,Frontier Crew Cab,"[""Pickup""]"
2000,Nissan,Frontier King Cab,"[""Pickup""]"
2000,Nissan,Frontier Regular Cab,"[""Pickup""]"
2000,Nissan,Maxima,"[""Sedan""]"
2000,Nissan,Pathfinder,"[""SUV""]"
2000,Nissan,Quest,"[""Van/Minivan""]"
2000,Nissan,Sentra,"[""Sedan""]"
2000,Nissan,Xterra,"[""SUV""]"
2000,Oldsmobile,Alero,"[""Sedan"", ""Coupe""]"
2000,Oldsmobile,Bravada,"[""SUV""]"
2000,Oldsmobile,Intrigue,"[""Sedan""]"
2000,Oldsmobile,Silhouette,"[""Van/Minivan""]"
2000,Plymouth,Breeze,"[""Sedan""]"
2000,Plymouth,Grand Voyager,"[""Van/Minivan""]"
2000,Plymouth,Neon,"[""Sedan""]"
2000,Plymouth,Prowler,"[""Convertible""]"
2000,Plymouth,Voyager,"[""Van/Minivan""]"
2000,Pontiac,Bonneville,"[""Sedan""]"
2000,Pontiac,Firebird,"[""Coupe"", ""Convertible""]"
2000,Pontiac,Grand Am,"[""Sedan"", ""Coupe""]"
